"code","count"
"PREFER_RELATIVE_IMPORTS","1177"
"DEPRECATED_MEMBER_USE","681"
"NON_CONSTANT_IDENTIFIER_NAMES","378"
"AVOID_PRINT","228"
"PREFER_SINGLE_QUOTES","101"
"FILE_NAMES","81"
"DEPEND_ON_REFERENCED_PACKAGES","45"
"CAMEL_CASE_TYPES","30"
"USE_BUILD_CONTEXT_SYNCHRONOUSLY","29"
"LIBRARY_PRIVATE_TYPES_IN_PUBLIC_API","28"
"UNAWAITED_FUTURES","24"
"PREFER_CONST_CONSTRUCTORS","17"
"AVOID_UNNECESSARY_CONTAINERS","8"
"UNNECESSARY_STRING_INTERPOLATIONS","8"
"CURLY_BRACES_IN_FLOW_CONTROL_STRUCTURES","7"
"UNRELATED_TYPE_EQUALITY_CHECKS","6"
"EMPTY_CATCHES","5"
"UNNECESSARY_IMPORT","5"
"CONSTANT_IDENTIFIER_NAMES","3"
"UNNECESSARY_BRACE_IN_STRING_INTERPS","3"
"USE_SUPER_PARAMETERS","3"
"AVOID_TYPES_ON_CLOSURE_PARAMETERS","3"
"LIBRARY_PREFIXES","2"
"UNNECESSARY_STATEMENTS","2"
"PREFER_FINAL_FIELDS","2"
"PREFER_CONST_CONSTRUCTORS_IN_IMMUTABLES","2"
"AVOID_VOID_ASYNC","2"
"PREFER_CONST_DECLARATIONS","2"
"SIZED_BOX_FOR_WHITESPACE","1"
"AVOID_FUNCTION_LITERALS_IN_FOREACH_CALLS","1"
"PREFER_CONST_LITERALS_TO_CREATE_IMMUTABLES","1"
"SORT_CHILD_PROPERTIES_LAST","1"
"IMPLEMENTATION_IMPORTS","1"
